"max_pca1" "max_pca2" "max_pca3" "max_pca5" "max_pca10" "max_pca20" "max_pca40" "min_pca1" "min_pca2" "min_pca3" "min_pca5" "min_pca10" "min_pca20" "min_pca40" "tpca0.8" "tpca0.9" "tpca0.95" "tpca0.99" "tpca0.995" "tpca0.999"
"1" 955 704 955 955 955 955 955 955 955 955 955 955 955 189 174 167 169 169 169 169
"2" 119 57 95 98 94 955 955 955 955 955 955 955 955 185 175 169 169 169 169 169
"3" 727 625 955 955 955 955 955 955 955 955 199 955 955 198 171 168 168 168 168 168
"4" 199 48 620 630 955 245 237 955 955 955 955 202 198 185 172 170 170 171 171 171
"5" 59 49 64 73 86 91 195 955 955 955 955 955 955 188 175 169 169 170 170 170
"6" 955 167 955 955 955 955 955 955 955 955 955 955 200 187 169 167 166 167 167 167
"7" 182 136 955 955 955 955 955 955 955 955 955 955 955 190 168 167 164 165 165 165
"8" 436 955 955 955 955 955 955 955 955 955 955 955 955 193 183 174 175 174 174 174
"9" 43 33 43 82 100 107 127 955 955 955 955 955 955 284 171 171 171 175 175 175
"10" 131 74 132 955 134 955 955 955 955 955 955 955 955 224 173 172 172 173 173 173
"11" 224 231 249 955 955 955 955 955 955 955 955 955 955 197 173 171 169 171 171 171
"12" 618 722 955 955 955 955 955 955 955 955 955 955 955 190 178 175 175 175 175 175
"13" 955 692 955 955 955 955 955 955 955 955 955 955 955 193 174 170 166 167 167 167
"14" 179 90 519 534 536 529 550 955 955 955 955 955 955 201 183 178 176 176 176 176
"15" 192 50 593 606 686 955 955 955 955 955 955 955 955 193 173 170 168 169 169 169
"16" 674 669 955 955 955 955 955 955 955 955 955 955 199 189 171 170 170 170 170 170
"17" 45 75 955 955 955 955 955 955 955 955 955 955 955 189 170 168 168 169 169 169
"18" 379 955 955 955 955 955 955 955 955 955 955 955 955 185 168 165 163 165 165 165
"19" 458 456 955 955 955 955 955 955 955 955 955 955 955 199 174 172 173 173 173 173
"20" 118 45 121 130 189 196 955 955 955 955 955 955 955 201 181 174 174 173 173 173
"21" 297 273 310 321 955 955 955 955 955 955 955 955 955 192 177 173 171 172 172 172
"22" 836 84 955 955 955 955 955 955 955 955 955 955 199 187 176 168 167 166 166 166
"23" 65 49 62 70 77 95 133 955 955 955 955 955 955 199 179 173 174 176 176 176
"24" 955 797 833 955 955 955 955 955 955 955 188 955 955 189 163 161 161 162 162 162
"25" 955 150 955 955 955 955 955 955 955 955 955 955 955 193 170 167 166 167 167 167
"26" 40 41 109 112 125 130 955 173 195 192 183 191 197 179 166 164 163 164 164 164
"27" 149 138 955 955 955 955 955 955 955 955 955 955 955 353 172 170 170 171 171 171
"28" 904 131 955 955 955 955 955 955 955 955 955 955 955 189 180 174 173 173 173 173
"29" 131 91 141 955 850 955 955 955 955 955 955 955 955 186 175 171 169 169 169 169
"30" 955 82 108 955 178 172 169 955 955 955 955 955 955 197 173 168 168 170 170 170
"31" 72 34 77 84 89 100 955 955 955 955 955 955 955 196 174 172 172 173 173 173
"32" 194 208 955 955 955 955 955 955 955 955 955 955 955 195 174 169 169 171 171 171
"33" 955 157 955 955 955 955 955 955 955 955 955 955 955 214 172 168 169 173 173 173
"34" 164 201 240 251 256 955 955 955 955 955 955 955 955 190 167 165 166 167 167 167
"35" 89 64 85 95 96 109 130 189 955 955 200 955 198 186 169 167 166 167 167 167
"36" 823 50 955 955 955 955 955 955 955 955 955 955 955 194 182 173 171 171 171 171
"37" 404 646 661 955 955 955 955 955 955 955 199 955 955 193 174 171 171 171 171 171
"38" 129 105 156 177 183 186 955 955 955 955 955 955 955 193 164 161 162 163 163 163
"39" 853 859 941 955 955 955 955 955 955 955 955 955 955 198 177 173 172 173 173 173
"40" 477 82 558 583 955 955 955 955 955 955 955 955 955 207 174 173 172 174 174 174
"41" 469 406 491 516 518 955 947 955 955 955 955 955 955 324 185 181 180 180 180 180
"42" 87 65 87 126 124 130 134 955 955 955 955 955 955 192 172 168 169 169 169 169
"43" 955 955 955 955 955 955 955 955 955 955 955 955 955 183 170 168 167 167 167 167
"44" 443 130 482 489 502 523 545 955 955 955 955 955 955 192 183 176 174 173 173 173
