"max_pca1" "max_pca2" "max_pca3" "max_pca5" "max_pca10" "max_pca20" "max_pca40" "min_pca1" "min_pca2" "min_pca3" "min_pca5" "min_pca10" "min_pca20" "min_pca40" "tpca0.8" "tpca0.9" "tpca0.95" "tpca0.99" "tpca0.995" "tpca0.999"
"1" 955 955 955 955 955 955 955 955 955 955 955 955 955 955 188 955 955 955 955 955
"2" 119 57 95 98 94 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"3" 717 632 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"4" 195 48 955 955 955 243 227 955 955 955 955 955 955 955 199 955 955 955 955 955
"5" 59 49 64 73 86 91 190 955 955 955 955 955 955 955 955 955 955 955 955 955
"6" 955 167 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"7" 181 136 955 955 955 955 955 955 955 955 955 955 955 955 184 178 173 955 955 955
"8" 437 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"9" 43 33 43 82 100 107 127 955 955 955 955 955 955 955 955 955 955 955 955 955
"10" 131 74 132 955 134 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"11" 174 222 241 252 688 250 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"12" 716 391 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"13" 305 693 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"14" 180 90 955 955 955 541 552 955 955 955 955 955 955 955 955 955 955 955 955 955
"15" 190 50 552 555 572 668 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"16" 672 371 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"17" 45 75 955 955 955 955 955 955 955 955 955 955 955 955 179 189 187 200 200 200
"18" 955 955 955 955 955 955 955 955 955 955 955 955 955 955 173 188 185 201 201 201
"19" 460 450 470 473 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"20" 118 45 121 130 190 188 197 955 955 955 955 955 955 955 955 955 955 955 955 955
"21" 303 280 314 955 955 955 955 955 955 955 955 955 955 955 197 955 955 955 955 955
"22" 837 84 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"23" 65 49 62 70 77 95 133 955 955 955 955 955 955 955 955 955 955 955 955 955
"24" 955 657 810 835 955 955 855 955 955 955 955 955 955 955 153 158 162 175 175 175
"25" 955 150 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"26" 40 41 109 112 125 130 955 955 955 955 955 955 955 955 162 171 169 185 185 185
"27" 149 138 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"28" 955 131 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"29" 131 91 141 955 850 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"30" 955 82 108 955 178 172 168 955 955 955 955 955 955 955 955 955 955 955 955 955
"31" 72 34 77 84 89 100 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"32" 193 203 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"33" 401 158 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"34" 166 207 234 243 252 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"35" 89 64 85 95 96 109 130 955 955 955 955 955 955 955 182 196 196 955 955 955
"36" 849 50 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"37" 811 645 902 909 909 925 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"38" 129 105 156 178 184 184 955 955 955 955 955 955 955 955 186 197 194 955 955 955
"39" 915 947 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"40" 483 82 556 584 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"41" 397 397 464 480 463 470 493 955 955 955 955 955 955 955 955 955 955 955 955 955
"42" 87 65 87 126 124 130 134 955 955 955 955 955 955 955 955 955 955 955 955 955
"43" 438 955 955 955 955 955 955 955 955 955 955 955 955 955 200 955 955 955 955 955
"44" 460 130 480 489 520 535 556 955 955 955 955 955 955 955 955 955 955 955 955 955
"45" 84 59 92 112 126 132 955 955 955 955 955 955 955 955 172 182 190 955 955 955
"46" 77 47 64 100 109 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"47" 640 643 669 671 687 754 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"48" 924 900 955 955 955 955 955 955 955 955 955 955 955 955 181 955 193 955 955 955
"49" 491 482 518 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"50" 418 180 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"51" 955 672 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"52" 273 254 327 955 955 500 499 955 955 955 955 955 955 955 955 955 955 955 955 955
"53" 108 70 89 95 955 955 278 955 955 955 955 955 955 955 955 955 955 955 955 955
"54" 157 138 955 153 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"55" 955 955 955 955 955 955 955 955 955 955 955 955 955 955 185 955 955 955 955 955
"56" 669 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"57" 86 61 78 87 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"58" 87 77 102 108 143 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"59" 132 318 955 955 955 955 955 955 955 955 955 955 955 955 198 955 200 955 955 955
"60" 618 174 955 955 955 955 955 955 955 955 955 955 955 955 186 194 200 955 955 955
"61" 270 102 308 317 324 955 955 955 955 955 955 955 955 955 142 189 183 201 201 201
"62" 430 433 451 460 466 482 501 955 955 955 955 955 955 955 955 955 955 955 955 955
"63" 107 62 97 107 124 134 139 955 955 955 955 955 955 955 179 200 200 955 955 955
"64" 561 555 595 622 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"65" 515 222 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"66" 352 62 85 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"67" 697 702 735 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"68" 143 247 955 955 955 955 955 955 955 955 955 955 955 955 185 955 201 955 955 955
"69" 111 85 108 118 116 137 143 955 955 955 955 955 955 955 168 191 180 955 955 955
"70" 468 471 511 955 955 955 955 955 955 955 955 955 955 955 183 192 196 955 955 955
"71" 195 955 955 955 955 955 955 955 955 955 955 955 955 955 191 955 955 955 955 955
"72" 383 375 400 413 418 430 955 955 955 955 955 955 955 955 176 186 197 955 955 955
"73" 119 125 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"74" 118 50 107 118 122 126 143 955 955 955 955 955 955 955 186 197 199 955 955 955
"75" 256 246 955 955 955 955 955 955 955 955 955 955 955 955 191 197 191 955 955 955
"76" 77 100 446 500 483 522 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"77" 305 304 955 955 955 955 955 955 955 955 955 955 955 955 172 190 191 955 955 955
"78" 160 69 143 154 161 168 185 955 955 955 955 955 955 955 955 955 955 955 955 955
"79" 77 86 955 955 955 198 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"80" 955 65 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"81" 87 52 69 79 85 94 147 955 955 955 955 955 955 955 955 955 955 955 955 955
"82" 99 67 110 129 145 130 169 955 955 955 955 955 955 955 955 955 955 955 955 955
"83" 95 95 226 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"84" 109 62 78 86 112 175 955 955 955 955 955 955 955 955 195 955 955 955 955 955
"85" 68 59 78 88 101 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"86" 188 162 955 955 185 168 183 955 955 955 955 955 955 955 180 187 182 197 197 197
"87" 134 110 135 141 142 157 169 955 955 955 955 955 955 955 955 955 955 955 955 955
"88" 188 527 552 563 955 955 955 955 955 955 955 955 955 955 191 201 188 955 955 955
"89" 240 72 91 98 112 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"90" 444 49 526 535 534 538 560 955 955 955 955 955 955 955 955 955 955 955 955 955
"91" 169 144 184 206 210 228 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"92" 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"93" 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"94" 99 51 90 123 128 128 130 955 955 955 955 955 955 955 955 955 955 955 955 955
"95" 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"96" 576 66 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"97" 124 53 658 670 668 687 729 955 955 955 955 955 955 955 165 200 191 955 955 955
"98" 175 176 288 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"99" 229 864 955 955 955 955 955 955 955 955 955 955 955 955 195 955 199 955 955 955
"100" 387 60 195 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"101" 877 894 921 955 955 917 896 955 955 955 955 955 955 955 955 955 955 955 955 955
"102" 955 90 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"103" 171 161 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"104" 707 53 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"105" 239 69 254 306 314 197 196 955 955 955 955 955 955 955 153 163 169 188 188 188
"106" 276 274 375 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"107" 89 45 93 955 98 955 289 955 955 955 955 955 955 955 206 955 955 955 955 955
"108" 58 48 955 955 194 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"109" 594 605 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"110" 616 77 955 955 955 955 155 955 955 955 955 955 955 955 183 955 955 955 955 955
"111" 603 605 710 778 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955 955
"112" 377 370 420 496 522 531 562 955 955 955 955 955 955 955 173 192 189 955 955 955
